,Comune,Provincia,Tipologia,Categoria,Denominazione,Indirizzo,Frazione,Telefono,FAX,Indirizzo posta elettronica,Sito internet,Periodo apertura,Codice esercizio ricettivo,Partita IVA,Prezzo massimo letto aggiunto,Prezzo massimo consumazione pasto,Prezzo massimo colazione,Numero camere,Numero posti letto,Numero bagni comuni,Numero posti per tipo unità,Tipologia unità,Prezzo,Mobili,Numero posti,Tipologia piazzola,Prezzo piazzola,Numero lavelli,Numero WC,Numero docce,Numero piazzole,Allestimenti stabili,Allestimenti mobili,Capacita ricettiva,Codice servizio,Descrizione servizio,Tipo servizio,Codice altro servizio,Descrizione altro servizio,Denominazione localita turistica,Denominazione annuario localita turistica,Denominazione ente annuario localita turistica,Altitudine localita turistica,Cap localita turistica,Denominazione localita,Altitudine localita,Codice localita,CAP localita,Unnamed: 48
150,CAMPITELLO DI FASSA,TRENTO,CAV - APPARTAMENTO PER VACANZE,,GRAN ELBA,"STREDA DOLOMITES, 103",,0462-601675,0462-750232,info@dolomitiholidays.com,,annuale,321878039,2282140223.0,,,,2.0,5.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
151,CAMPITELLO DI FASSA,TRENTO,CAV - APPARTAMENTO PER VACANZE,,KAMERLOY,"STREDA DOLOMITES, 12",,0462-750322,0462-750429,info@kamerloy.com,www.kamerloy.com,annuale,75175808,2120710229.0,,,,7.0,24.0,,2.0,appartamento,60.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
152,CAMPITELLO DI FASSA,TRENTO,CAV - APPARTAMENTO PER VACANZE,,PARCO DEGLI ABETI - CESA NEVA - COL DE LIN - DES ALPES - EDELWEISS,"STREDA DE CERCENA' 12, 32, 108  - STREDA DE CROUS 4, 17",,0462-601675,0462-750232,info@dolomitiholidays.com,www.dolomitiholidays.com,annuale,301643396,2282140223.0,,,,5.0,22.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
153,CAMPITELLO DI FASSA,TRENTO,CAV - APPARTAMENTO PER VACANZE,,RODELLA A PARTE,"PIAZ DE CIAMPEDEL, 20/3",,346-0785044,,info@fassaaparte.it,,annuale,303947491,2277040222.0,,,,1.0,4.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
154,CAMPITELLO DI FASSA,TRENTO,CAV - APPARTAMENTO PER VACANZE,,SASS LENCH A PARTE,"STREDA DEL PONZ, 14",,346-0785044,,info@fassaaparte.it,,annuale,304175438,2277040222.0,,,,1.0,4.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
155,CAMPITELLO DI FASSA,TRENTO,CAV - APPARTAMENTO PER VACANZE,,VILLA BERNARD,"STREDA ROMA, 6",,0462-750034,,villabernardcampitello@gm ail.com,www.lastminutedolomites.i t,annuale,248398366,1739120226.0,,,,4.0,20.0,,4.0,appartamento,200.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
156,CAMPITELLO DI FASSA,TRENTO,CAV - CASA PER VACANZE,,CASA PER VACANZE SASLENCH,"STREDA DOLOMITES, 28/32",,0462-762301,0462-762302,info@residencesaslench.co m,www.residencesaslench.com,annuale,1284069,1847170220.0,,,,8.0,48.0,,4.0,appartamento,150.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
157,CAMPITELLO DI FASSA,TRENTO,CAV - RESIDENCE,,APPARTAMENTI CARLA,"STREDA DOLOMITES, 109-111-113-115",,0462-750292,,braito.carla@libero.it,,annuale,288888502,1086710223.0,,,,7.0,44.0,,4.0,appartamento,0.0,,,,,,,,,,,,STANN15.parco-giochi-attrezzato-b,Parco giochi attrezzato per bambini,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
158,CAMPITELLO DI FASSA,TRENTO,CAV - RESIDENCE,,CESA BAISSA,"STREDA DOLOMITES, 60-62",,347-8197288,,,,annuale,310890949,2300420227.0,,,,2.0,7.0,,3.0,appartamento,0.0,,,,,,,,,,,,,,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
159,CAMPITELLO DI FASSA,TRENTO,CAV - RESIDENCE,,RESIDENCE ALFRED,"STREDA DOLOMITES, 94",,0462-750238,0462-750239,info@ladina.net,www.ladina.net,annuale,1282610,987190220.0,,,,8.0,36.0,,4.0,appartamento,0.0,,,,,,,,,,,,STANN14.palestra,Palestra,,,,CAMPITELLO DI FASSA,CAMPITELLO DI FASSA,A.P.T. VALLE DI FASSA,1448,38031,CAMPITELLO DI FASSA - CIAMPEDEL,1448,353,38031,
160,CAMPODENNO,TRENTO,BED & BREAKFAST,,B&B AL TRIFOGLIO - TURRINI ANDREA,"VIA CASTEL BELASI, 8",SEGONZONE,388-9052937,,info@trifogliovaldinon.co m,www.trifogliovaldinon.com,annuale,313227712,,,,,4.0,14.0,0.0,3.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,CAMPODENNO,CAMPODENNO,A.P.T. VALLE DI NON,534,38010,SEGONZONE,534,8813,38010,
161,CAMPODENNO,TRENTO,BED & BREAKFAST,,CASA DELLE FATE - BALDESSARI DANIELA,"VIA CASTEL LA SANTA, 4",TERMON,0461-655726,0461-655726,casa.delle.fate@virgilio. it,www.casadellefate.it,annuale,1292450,,,,,3.0,9.0,1.0,3.0,camera-senza-bagno,100.0,,,,,,,,,,,,,,BBqualita,,,CAMPODENNO,CAMPODENNO,A.P.T. VALLE DI NON,534,38010,TERMON,595,8815,38010,
162,CAMPODENNO,TRENTO,BED & BREAKFAST,,LA CASA DEL SOLE - PEDO' LEO,"VIA SOI', 12",,0461-655049,,bb.lacasadelsoletrentino@ gmail.com,www.beblacasadelsoletrent ino.com,annuale,249726638,,,,,3.0,9.0,0.0,2.0,camera-con-bagno,70.0,,,,,,,,,,,,,,BBqualita,,,CAMPODENNO,CAMPODENNO,A.P.T. VALLE DI NON,534,38010,CAMPODENNO,534,354,38010,
163,CANAL SAN BOVO,TRENTO,AFFITTACAMERE,tre_soli,BAITA OASI,"LOCALITA' SIMBOLDA, 88",,331 4218008,0439-022005,info@baitaoasi.it,www.baitaoasi.it,annuale,1601572,1886510229.0,"30,00","30,00","12,00",8.0,15.0,0.0,1.0,camera-con-bagno,55.0,,,,,,,,,,,,STANN03.sauna-finlandese,Sauna finlandese/biosauna,cena,STANN03.sauna,Sauna,CANAL SAN BOVO,CANAL SAN BOVO,A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO,757,38050,CANAL SAN BOVO,757,355,38050,
164,CANAL SAN BOVO,TRENTO,AFFITTACAMERE,tre_soli,MASO PARADISI,"LOC. GIARONI, 1/P",,349-1501697,,nicholascecco@gmail.com,,annuale,231719705,2283040224.0,"5,00",,"6,00",5.0,10.0,0.0,2.0,camera-con-bagno,60.0,,,,,,,,,,,,,,prima-colazione,,,CANAL SAN BOVO,CANAL SAN BOVO,A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO,757,38050,CANAL SAN BOVO,757,355,38050,
165,CANAL SAN BOVO,TRENTO,AFFITTACAMERE,tre_soli,VILLA CHEIA CHALET NEL DOCH,"LOC. VILLANUOVA, 22/A",PRADE,0439-763206,0439-022014,info@chaletneldoch.com,,estiva-invernale,1641887,2085420228.0,"110,00",,"30,00",3.0,6.0,0.0,2.0,camera-con-bagno,250.0,,,,,,,,,,,,,,prima-colazione,,,CANAL SAN BOVO,CANAL SAN BOVO,A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO,757,38050,PRADE,899,8828,38050,
166,CANAL SAN BOVO,TRENTO,BED & BREAKFAST,,LA BAITA DEL CAPITANO - CREMONINI SONIA,"LOCALITA' REVEDEA, 45/A",,349 5409424,,sonia.crem@gmail.com,,estiva,291115641,,,,,1.0,2.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,CANAL SAN BOVO,CANAL SAN BOVO,A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO,757,38050,CANAL SAN BOVO,757,355,38050,
167,CANAZEI,TRENTO,AFFITTACAMERE,due_soli,CLAUDIA,"VIA DE PALUA, 1",ALBA,0462-602142,0462-512554,garniclaudia@email.it,www.garniclaudia.it,annuale,1286078,,"29,00",,"6,00",9.0,17.0,0.0,1.0,camera-con-bagno,35.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38032,
168,CANAZEI,TRENTO,AFFITTACAMERE,due_soli,VILLA PAOLA,"STREDA DO VEISC, 60",ALBA,0462-601561,0462-601561,info@villapaola.tn.it,,annuale,1286656,1524050224.0,"33,00","17,00","10,00",12.0,22.0,0.0,1.0,camera-con-bagno,33.0,,,,,,,,,,,,,,somministrazione-bevande,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38032,
169,CANAZEI,TRENTO,AFFITTACAMERE,quattro_soli,LASTIES,"STREDA (VIA) DE PAREDA, 2",,0462-601234,0462-606344,lasties@tiscali.it,www.fassahotel.com/lastie s/,annuale,1286580,15836990225.0,"28,00",,"10,00",20.0,37.0,1.0,1.0,camera-con-bagno,40.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
170,CANAZEI,TRENTO,AFFITTACAMERE,quattro_soli,MIA MASON,"STREDA DEL PIZ, 9",,0462-601290,0462-601290,info@miamason.it,www.miamason.it,annuale,1286549,,"60,00",,"6,00",6.0,12.0,1.0,2.0,camera-con-bagno,190.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
171,CANAZEI,TRENTO,AFFITTACAMERE,quattro_soli,PETER,"VIA STRÃDA DE PAREDA, 57",,0462-601579,0462-601579,info@garnipeter.it,www.garnipeter.it,annuale,1285989,1731590228.0,"45,00",,"10,00",6.0,14.0,0.0,2.0,camera-con-bagno,90.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
172,CANAZEI,TRENTO,AFFITTACAMERE,tre_soli,EL SANGON,"STREDA DE CIAMPAC, 7",,0462-602152,0462-602152,info@elsangon.it,www.elsangon.it,annuale,1285574,1626070229.0,"65,00",,"37,00",10.0,21.0,0.0,1.0,camera-con-bagno,82.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
173,CANAZEI,TRENTO,AFFITTACAMERE,un_sole,BUFON - LACHE',"STREDA DE COSTA, 20-24",,0462-601710,,,,annuale,283313433,484170071.0,,,,19.0,33.0,0.0,1.0,camera-con-bagno,0.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
174,CANAZEI,TRENTO,AFFITTACAMERE,un_sole,CESA PLANBER,"VIA CAMPAZ, 16",,0462-602652,0462-602652,info@planber.it,www.planber.it,annuale,1285685,,"10,00",,"10,00",7.0,14.0,1.0,2.0,camera-con-bagno,70.0,,,,,,,,,,,,,,prima-colazione,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
175,CANAZEI,TRENTO,BED & BREAKFAST,,BED AND BREAKFAST CESA FARINOL - IORI CLARA,"ANTERSIEF, 14",ALBA,0462-602532,,cesafarinol@yahoo.it,,annuale,237803322,,,,,3.0,6.0,0.0,2.0,camera-con-bagno,110.0,,,,,,,,,,,,,,BBqualita,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
176,CANAZEI,TRENTO,BED & BREAKFAST,,CIANBOLPIN - MERLI NICOLA,"STREDA FRANZ DANTONE, 29",,340-5592996,,circoladino@gmail.com,,annuale,302767388,,,,,1.0,2.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
177,CANAZEI,TRENTO,BED & BREAKFAST,,LA PAVOLERA - MERLI GIAMPIERO,"STREDA DE MAGOA, 6",,340 8704194,,merlimatteocanazei@yahoo. it,,annuale,299107157,,,,,2.0,5.0,1.0,2.0,camera-senza-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
178,CANAZEI,TRENTO,CAMPEGGIO,1stella,CAMPING MARMOLADA,"STREDA DE PAREDA, 60",,0462-601660,0462-601722,campingmarmolada@virgilio .it,www.campingmarmolada.com,annuale,1284894,2189460229.0,,,,,,,,piazzola,13.5,,,,,,,,234.0,0.0,0.0,841.0,STANN14.tennis-tavolo,Tennis tavolo - ping pong,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
179,CANAZEI,TRENTO,CASA PER FERIE (TRADIZIONALE),,CASA ALPINA FUCI,"STREDA DE CONTRIN, 27/A",ALBA,335-7847146,,,,annuale,1280997,3360980548.0,"7,00","8,00","2,00",21.0,47.0,,1.0,camera-con-bagno,13.0,,,,,,,,,,,,STANN14.campo-bocce,Campo bocce,cena,STANN14.campo-bocce,Campo bocce,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38032,
180,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,ANNY APARTMENTS,"STREDA DO RUF DE ANTERMONT, 35 - 37",CANAZEI - CIANACEI,0462-601675,0462-750232,info@dolomitiholidays.com,www.dolomitiholidays.com,annuale,283101177,2282140223.0,,,,4.0,18.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI,1465,8843,38032,
181,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APARTMENT DOLAVILLA,"STREDA DE DOLAVILLA, 62",CANAZEI - CIANACEI,0462-601675,0462-750232,info@dolomitiholidays.com,www.dolomitiholidays.com,annuale,283099328,2282140223.0,,,,1.0,4.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI,1465,8843,38030,
182,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTI ALBERT,"STREDA DE TREVE, 82",PENIA,0462-601194,0462-601194,info@casamaurivan.com,,annuale,1346034,1131620229.0,,,,13.0,34.0,,1.0,appartamento,90.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,PENIA,1556,8848,38032,
183,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTI BERNARD,"STREDA DOLOMITES, 52",,462601353,462606091,apt@appartamenticanazei.c om,,annuale,1369556,1979490222.0,,,,7.0,23.0,,2.0,appartamento,85.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
184,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTI CESA MARIA,"STREDA DOLOMITES, 50",,0462-601364,,cesa.maria@tin.it,,annuale,1281911,1853820221.0,,,,11.0,51.0,,4.0,appartamento,150.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
185,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTO CESA PALUA,"STREDA DE COSTA, 149",ALBA,0462-601675,0462-750232,info@dolomitiholidays.com,www.dolomitiholidays.com,annuale,283095791,2282140223.0,,,,1.0,4.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
186,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTO RODODENDRO,"STREDA DE CUCH, 93",ALBA,0462-601675,0461-750232,info@dolomitiholidays.com,,annuale,302439534,2282140223.0,,,,1.0,6.0,,6.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
187,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,BERNARD FORTUNATO,"STREDA DE CIAMPAC, 1",,0462-601659,,,,annuale,295051548,603110222.0,,,,4.0,17.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
188,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CASA MAURIVAN,"STREDA DOLOMITES, 155",GRIES,0462-601194,0462-601194,info@casamaurivan.com,www.casamaurivan.com,annuale,1283467,1642540221.0,,,,7.0,31.0,,2.0,appartamento,250.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,GRIES,1450,8851,38032,
189,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CESA CIAMPAC,"STREDA DE  CONTRIN, 36",,0462-601675,0462-750232,info@dolomitiholidays.com,,annuale,302439602,2282140223.0,,,,2.0,7.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
190,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CESA DOLAVILLA,"STREDA DOLAVILLA, 7",,0462-601675,0462-750232,info@dolomitiholidays.com,,annuale,302439759,2282140223.0,,,,4.0,22.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
191,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CESA GALADRIEL,"STREDA DE TREVE, 86",PENIA,339-1932123,0187-501336,speziaraffaella@alice.it,,annuale,1610396,716730114.0,,,,2.0,10.0,,2.0,appartamento,143.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,PENIA,1556,8848,38032,
192,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CLAUDIAS APARTMENTS,"STREDA DO VEISC, 15 - 17",ALBA,0462-601675,0462-750232,info@dolomitiholidays.com,,annuale,302439807,2282140223.0,,,,2.0,8.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
193,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CREPES DE SELA,"STREDA DE PORDOI, 65",,0462-601279,0462-601279,info@crepesdesela.com,,annuale,1483657,1980820227.0,,,,1.0,10.0,,10.0,appartamento,550.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
194,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,ENROSADIRA,"STREDA DE COSTA, 90",ALBA,02-2047080 3409021991 Renato per istat,02-2046177,segreteria@alcotur.it,,annuale,1343349,7589190151.0,,,,11.0,69.0,,4.0,appartamento,240.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38032,
195,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,GRAN VERNEL,"STREDA DE CIAMP TRUJAN, 26",PENIA,0462-601675,0462-750232,info@dolomitiholidays.com,www.dolomitiholidays.com,annuale,308333970,2282140223.0,,,,2.0,4.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,PENIA,1556,8848,38032,
196,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,VERNEL A PARTE,"STREDA DE COSTA, 69/71",ALBA,346-0785044,,info@fassaaparte.it,,annuale,304352398,2277040222.0,,,,1.0,2.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
197,CANAZEI,TRENTO,CAV - APPARTAMENTO PER VACANZE,,VIDOR DE VEDERIL,"STREDA DE PAREDA, 99",,339 2323548,,info@vederil.it,www.vederil.it,annuale,1610123,2032450229.0,,,,6.0,22.0,,3.0,appartamento,200.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
198,CANAZEI,TRENTO,CAV - RESIDENCE,,CASA LORENZ,"STREDA DEL CUCH, 97",ALBA,0462-602006,,info@casalorenz.com,,annuale,265722565,2433870223.0,,,,4.0,21.0,,4.0,appartamento,0.0,,,,,,,,,,,,STANN15.parco-giochi-attrezzato-b,Parco giochi attrezzato per bambini,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
199,CANAZEI,TRENTO,CAV - RESIDENCE,,CONTRIN RESIDENCE,"VIA DE PAREDA, 89",,0462-602400,0462-609333,info@residencehotel.it,www.residencehotel.it,annuale,1606156,2266250212.0,,,,30.0,135.0,,2.0,appartamento,232.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
200,CANAZEI,TRENTO,CAV - RESIDENCE,,LA CIASA'A,"STREDA DOLOMITES, 10",,0462-601415,0462-601415,laciasaa@alice.it,www.ciasaa.com,annuale,1369599,672380227.0,,,,5.0,19.0,,2.0,appartamento,115.0,,,,,,,,,,,,STANN14.tennis-tavolo,Tennis tavolo - ping pong,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
201,CANAZEI,TRENTO,CAV - RESIDENCE,,MAJON BETITES,"STREDA DE COL DA RONCH, 17",,0462-602579,,,,annuale,283480255,1823990229.0,,,,5.0,18.0,,3.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
202,CANAZEI,TRENTO,CAV - RESIDENCE,,VILLA FLORA,"STREDA DE COSTA, 185",ALBA,0462-600219,0462-601019,villaflora.resi@tin.it,,annuale,1282624,1850200229.0,,,,12.0,45.0,,3.0,appartamento,170.0,,,,,,,,,,,,STANN03.bagno-turco,Bagno turco,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,ALBA,1517,8845,38030,
203,CANAZEI,TRENTO,CAV - RESIDENCE,,VILLA LORY,"STREDA DO RUF DE SORACREPA, 8",,333 4679069,,info@villalory.net,www.villalory.net,annuale,265835781,2332490222.0,,,,5.0,23.0,,4.0,appartamento,0.0,,,,,,,,,,,,,,,,,CANAZEI,CANAZEI,A.P.T. VALLE DI FASSA,1465,38032,CANAZEI - CIANACEI,1465,356,38032,
204,CARANO,TRENTO,AFFITTACAMERE,tre_soli,MASO FRANCESCHELLA,"LOC. AGUAI, 17",AGUAI,3356554867,462832002,info@masofranceschella.it,www.masofranceschella.it,annuale,1431292,1794220226.0,"45,00","30,00","10,00",6.0,12.0,0.0,2.0,camera-con-bagno,170.0,,,,,,,,,,,,,,prima-colazione,,,CARANO,CARANO,A.P.T. VALLE DI FIEMME,1086,38033,AGUAI,1086,8865,38033,
205,CARANO,TRENTO,BED & BREAKFAST,,ALLA FONTANA TERMALE - DELVAI AUGUSTO,"VIA F. TOMMASI, 28",,0462-231336,,augustodelvai@tin.it,,annuale,260667687,,,,,2.0,5.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,CARANO,CARANO,A.P.T. VALLE DI FIEMME,1086,38033,CARANO,1086,358,38033,
206,CARANO,TRENTO,BED & BREAKFAST,,CASA GIOVANELLI - CRISTELLON GIOVANNI,"LOCALITA' CELA, 4A",,336 661652,0462-938102,,,annuale,287102976,,,,,1.0,2.0,1.0,2.0,camera-senza-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,CARANO,CARANO,A.P.T. VALLE DI FIEMME,1086,38033,CARANO,1086,358,38033,
207,CARANO,TRENTO,CAMPEGGIO,1stella,CAMPEGGIO CALVELLO,"LOC. CALVELLO, 10",CALVELLO,0462-341694,,info@campeggiocalvello.it,www.campeggiocalvello.it,annuale,1284614,1214860221.0,,,,,,,,piazzola,11.0,,,,,,,,16.0,0.0,0.0,50.0,STANN14.tennis-tavolo,Tennis tavolo - ping pong,,,,CARANO,CARANO,A.P.T. VALLE DI FIEMME,1086,38033,CALVELLO,1200,50000119,38033,
208,CARANO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTI VILLA PRAFIORI',"VIA COLTURA, 2",,335-1017404,,m.betta@studiobetta.com,,annuale,246032247,1680430228.0,,,,4.0,16.0,,4.0,appartamento,157.0,,,,,,,,,,,,,,,,,CARANO,CARANO,A.P.T. VALLE DI FIEMME,1086,38033,CARANO,1086,358,38033,
209,CARANO,TRENTO,CAV - CASA PER VACANZE,,RESIDENCE VILLA BOSCHETTO,"VIA PAREDON, 5",,0462-764047,0462-764782,villa_boschetto@rolmail.n et,,annuale,1282002,927300228.0,,,,10.0,63.0,,6.0,appartamento,220.0,,,,,,,,,,,,,,,,,CARANO,CARANO,A.P.T. VALLE DI FIEMME,1086,38033,CARANO,1086,358,38033,
