"Numero sentiero tratta";"Competenza";"Denominazione";"Difficoltà";"Località inizio";"Località fine";"Quota inizio";"Quota fine";"Quota minima";"Quota massima";"Lunghezza plaminetrica";"Lunghezza inclinata";"Tempo andata";"Tempo ritorno";"Gruppo montagne interessate";"Comuni toccati";
"E401";"SEZ. SAT COGNOLA";"SENTIERO DI PREDAMALA";"E";"MARTIGNANO - Via Bolleri - località Pinara";"MONTE CALISIO (b.402)";388;1,096;388;1,096;3,140;3,250;"02:00";"01:30";"CALISIO";"Trento";
"E401A";"SEZ. SAT COGNOLA";"SENTIERO DELLE MILIZIE";"E";"PREDAMALA (b.401)";"VALLETTA DELLA POLSA (b.402)";460;640;460;640;1,710;1,750;"00:40";"00:30";"CALISIO";"Trento";
"E402";"SEZ. SAT COGNOLA";"SENTIERO NATURA COGNOLA - MONTE CALISIO";"E";"COGNOLA - Via Masetti";"MONTE CALISIO (b.401)";376;1,096;376;1,096;4,180;4,300;"02:00";"01:40";"CALISIO";"Trento";
"E402B";"SEZ. SAT COGNOLA";"";"T";"VILLAMONTAGNA - CHIOGNA";"PEZ (b.402)";540;568;540;568;690;700;"00:10";"00:10";"CALISIO";"Trento";
"E403";"SEZ. SAT CIVEZZANO";"VIA CLAUDIA AUGUSTA e SENTIERO DELLE COSTE DI CAMPEL";"E";"CIVEZZANO - CASTEL TELVANA (b.420)";"STOI DI VAL MISTAI (b.402)";477;1,030;477;1,030;3,950;4,050;"01:40";"01:15";"CALISIO";"Civezzano, Trento";
"E403A";"SEZ. SAT COGNOLA";"SENTIERO DELLA CROCE";"E";"RISTORANTE CAMPEL ( b.421)";"SELLA DI VAL MISTAI (b.403)";750;1,020;750;1,020;3,090;3,150;"01:20";"01:00";"CALISIO";"Civezzano, Trento";
"E403B";"SEZ. SAT COGNOLA";"SENTIERO DEL DOS CASTION";"E";"CASTEL VEDRO (b.403)";"COSTA DI CAMPEL (b.403)";590;726;590;726;1,340;1,370;"00:20";"00:20";"CALISIO";"Trento, Civezzano";
"E404";"SEZ. SAT PINÉ";"SENTIERO DI COSTALTA";"E";"MIOLA - Parciocca";"PASSO DEL REDEBUS (b.443B)";1,126;1,453;1,126;1,955;11,750;11,870;"04:00";"03:40";"LAGORAI / Costalta - Croce";"S. Orsola Terme, Baselga di Piné, Bedollo";
"E405";"SEZ. SAT PERGINE";"";"E";"SANT'ORSOLA";"DOSSO DI COSTALTA (b.404)";950;1,955;950;1,955;5,830;5,960;"02:45";"01:50";"LAGORAI / Costalta - Croce";"S. Orsola Terme";
"E406";"SEZ. SAT PINÉ";"";"E";"PRESSO IL MAS DEI SAILI (b.406B)";"PIAZZE";1,010;1,072;830;1,072;2,050;2,140;"01:10";"01:00";"LAGORAI / Costalta - Croce";"Segonzano, Bedollo";
"E406B";"SEZ. SAT PINÉ";"";"E";"QUARAS";"CENTRALE DI BEDOLLO (b.443)";955;1,050;931;1,078;2,790;2,830;"01:00";"00:50";"LAGORAI / Costalta - Croce";"Segonzano, Bedollo";
"E407";"SEZ. SAT PINÉ, SEZ. SAT BORGO VALSUGANA";"";"E";"BRUSAGO (b.443)";"MALGA CAGNON DI SOPRA (b.314)";1,104;1,885;1,104;2,212;8,610;8,780;"04:10";"03:30";"LAGORAI / Costalta - Croce";"Bedollo, Lona-Lases, Baselga di Piné, Telve";
"E408";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"NASSI DI CADINO - SS 12";"PINETA DI FAEDO (b.414)";211;713;211;798;6,900;6,960;"02:50";"02:20";"MONTI DI CEMBRA";"Faedo";
"E408A";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"pr. LE MALGHE DI FAEDO (b.408)";"VALBORADA (b.409)";747;820;747;820;1,090;1,100;"00:20";"00:15";"MONTI DI CEMBRA";"Faedo, Giovo";
"E408B";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"FONTANELLE DI FAEDO (b.409-414)";"PASSO CIMA (b.408)";760;798;760;798;320;330;"00:10";"00:10";"MONTI DI CEMBRA";"Faedo";
"E409";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"FONTANELLE DI FAEDO (b.408B-414)";"ZISE - bivio SI-E5 (b.415-415A)";760;1,245;760;1,245;6,020;6,080;"02:10";"01:50";"MONTI DI CEMBRA";"Faedo, Giovo, Cembra";
"E409A";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"POZZE (b.409)";"LAGABRUN (b.414)";1,054;1,085;1,054;1,085;1,190;1,200;"00:20";"00:15";"MONTI DI CEMBRA";"Giovo, Cembra";
"E409B";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"PASSO DELLA CROCCOLA (b.409)";"CONFINE PROVINCIALE TN-BZ";948;805;805;948;1,200;1,220;"00:30";"00:40";"MONTI DI CEMBRA";"Giovo";
"E410";"SEZ. SAT CEMBRA";"";"E";"CEMBRA";"LAGO SANTO - bivio SI-E5 (b.414-415-417)";665;1,208;665;1,208;3,560;3,620;"01:30";"01:10";"MONTI DI CEMBRA";"Cembra";
"E411";"SEZ. SAT POVO";"";"E";"BORINO (b.413)";"CIPPO LIVIO SARTORI (b.412)";500;1,570;500;1,692;8,170;8,350;"04:00";"03:00";"MARZOLA";"Trento";
"E411A";"SEZ. SAT POVO";"BIVIO 411 1585";"E";"QUOTA 1585 (b.411)";"SELLA DELLA MARZOLA (b.411-412-433)";1,585;1,710;1,585;1,737;1,510;1,540;"00:45";"00:35";"MARZOLA";"Trento";
"E412";"SEZ. SAT BINDESI VILLAZZANO";"";"E";"GROTTA DI VILLAZZANO";"SELLA DELLA MARZOLA (b.411-411A-433)";479;1,692;479;1,736;7,810;7,990;"04:15";"03:10";"MARZOLA";"Trento";
"E412A";"SEZ. SAT BINDESI VILLAZZANO";"";"E";"BIVACCO MARZOLA - \"Raffele Bailoni\" (b.412)";"QUOTA 1621 (b.411)";1,623;1,621;1,621;1,623;200;210;"00:05";"00:05";"MARZOLA";"Trento";
"E413";"SEZ. SAT POVO";"";"E";"BORINO (b.411)";"STOI DEL CHEGUL (b.411)";530;1,330;530;1,330;5,040;5,150;"02:30";"01:50";"MARZOLA";"Trento";
"E414";"SEZ. SAT SAN MICHELE ALL'ADIGE";"";"E";"SAN MICHELE ALL'ADIGE";"LAGO SANTO - bivio SI-E5 (b.410-415-417";210;1,208;210;1,208;8,470;8,590;"03:30";"02:30";"MONTI DI CEMBRA";"S. Michele all'Adige, Faedo, Giovo, Cembra";
"E415";"SEZ. SAT CEMBRA";"";"E";"LAGO SANTO - bivio SI-E5 (b.410-414-417)";"RIFUGIO POTZMAUER - bivio SI-E5 (b.480)";1,208;1,289;1,208;1,289;7,050;7,100;"02:20";"02:10";"MONTI DI CEMBRA";"Cembra, Faver";
"E415A";"SEZ. SAT CEMBRA";"";"T";"PONCIACH";"ZISE - bivio SI_E5 (b.409-415)";1,000;1,245;1,000;1,245;1,510;1,530;"00:40";"00:30";"MONTI DI CEMBRA";"Cembra, Faver";
"E416";"SEZ. SAT LISIGNAGO";"";"E";"LISIGNAGO";"CAPANNA MADERLINA (b.417)";582;1,005;582;1,055;5,030;5,120;"02:00";"01:30";"MONTI DI CEMBRA";"Lisignago";
"E416A";"SEZ. SAT LISIGNAGO";"SENTIERO DEL PIZ DELLE AGOLE";"E";"PERNAIA (b.416)";"PIANI DI PERNAIA (b.416)";995;1,055;995;1,082;1,350;1,370;"00:35";"00:30";"MONTI DI CEMBRA";"Lisignago";
"E417";"SEZ. SAT LISIGNAGO, SEZ. SAT CEMBRA";"";"E";"VAL DELLA STUA (b.414)";"LAGO SANTO - bivio SI-E5 (410-414-415)";910;1,208;910;1,224;6,800;6,880;"02:20";"02:00";"MONTI DI CEMBRA";"Giovo, Lisignago, Cembra";
"E418";"SEZ. SAT POVO";"VIA FERRATA \"GIORDANO BERTOTTI\" VF - EEA-PD";"EEA-PD";"COLMO - strada Cimirlo-Maranza (b.427)";"SPIAZ DE LE PATATE (b.411)";853;1,310;853;1,310;1,980;2,090;"01:30";"01:10";"MARZOLA";"Trento";
"E419";"SEZ. SAT POVO";"";"E";"OLTRECASTELLO";"PASSO DEL CIMIRLO";481;733;481;998;4,100;4,210;"02:20";"02:10";"MARZOLA";"Trento";
"E420";"SEZ. SAT COGNOLA, SEZ. SAT CIVEZZANO";"";"E";"CIVEZZANO - CASTEL TELVANA (b.403)";"MONTEVACCINO DI SOPRA (b.430)";477;739;477;887;6,500;6,600;"02:15";"02:00";"CALISIO";"Trento, Civezzano";
"E420A";"SEZ. SAT CIVEZZANO";"SENTER DEL LOF";"E";"LE LASTE (b.420)";"TRINCEE (b.403)";559;638;550;638;2,110;2,150;"00:50";"00:45";"CALISIO";"Civezzano";
"E421";"SEZ. SAT COGNOLA, SEZ. SAT CIVEZZANO";"SENTIERO DI SANTA COLOMBA";"E";"VILLAMONTAGNA - piazza";"FORNACE - scuole";576;750;576;935;11,290;11,500;"03:45";"03:45";"CALISIO";"Trento, Civezzano, Albiano, Fornace";
"E421A";"SEZ. SAT COGNOLA";"SENTIERO VECCHIO DI CAMPEL";"E";"VILLAMONTAGNA - bivio Pozze (b.421)";"PINETA DI CAMPEL (b.421)";612;765;612;765;700;740;"00:20";"00:15";"CALISIO";"Trento";
"E422";"SEZ. SAT LAVIS";"";"E";"SAN LAZZARO - pr. chiesa San Lazzaro";"DOLASI (b.421)";240;895;240;895;5,640;5,700;"02:20";"01:45";"CALISIO";"Trento, Civezzano";
"E423";"GRUPPO SAT CAPRIANA (Sez. Cavalese), SEZ. SAT PINÉ";"";"E";"pr.BAITO FORNASA BASSA SP 31 (b.314)";"ex MALGA CASERINE ruderi (b.407-468A)";1,425;1,910;1,425;2,219;5,990;6,130;"03:15";"02:30";"LAGORAI / Costalta - Croce";"Castello-Molina di Fiemme, Valfloriana, Baselga di Piné";
"E424";"SEZ. SAT CIVEZZANO";"";"EE";"SLACCHE";"SELLETTA (b.419)";410;885;410;885;2,200;2,270;"01:15";"00:45";"MARZOLA";"Civezzano";
"E424B";"SEZ. SAT CIVEZZANO";"SENTIERO ALPINISTICO DEL CELVET SAA - EE";"EE";"GIARON (b.424)";"SPIAZ DA BARCH (b.419)";675;834;675;834;800;820;"00:40";"00:30";"MARZOLA";"Civezzano, Trento";
"E425";"SEZ. SAT FOLGARIA, SEZ. SAT CENTA S. NICOLÒ, SEZ. SAT CALDONAZZO";"SAA";"E";"FOLGARIA OVEST";"BIVACCO VIGOLANA (b.435)";1,145;1,990;1,145;2,125;11,690;11,860;"04:40";"04:00";"VIGOLANA";"Folgaria, Besenello, Centa S. Nicolò, Vattaro, Bosentino";
"E425B";"SEZ. SAT FOLGARIA";"SENTIERO ATTREZZATO \"GIOVANNI GENTILINI\"  SAA - EE";"EE";"VERSANTE SE CORNETTO DI FOLGARIA (b.451)";"CRESTA N CORNETTO DI FOLGARIA (b.425)";1,970;2,015;1,970;2,015;700;710;"00:30";"00:30";"VIGOLANA";"Folgaria";
"E426";"SEZ. SAT POVO";"SENTER DELLE PEGORE";"E";"RIFUGIO MARANZA (b.412-429-441-456)";"QUOTA 1320 (b.413)";1,072;1,320;1,072;1,320;3,200;3,230;"01:20";"01:10";"MARZOLA";"Trento";
"E427";"SEZ. SAT POVO";"SENTER DEI BRUSADI";"E";"QUOTA 794 (b.413)";"PRA' DE STELAR (b.411)";794;994;794;995;1,760;1,810;"01:00";"00:50";"MARZOLA";"Trento";
"E428";"SEZ. SAT CALDONAZZO, SEZ. SAT CENTA S. NICOLÒ";"SENTIERO DEI RONCHI";"E";"CALDONAZZO - presso il cimitero";"MARCH - pr. Rifugio Paludei (b.432-444)";487;1,058;487;1,058;5,200;5,280;"02:00";"01:30";"VIGOLANA";"Caldonazzo, Centa S. Nicolò";
"E429";"SEZ. SAT VIGOLO VATTARO";"";"E";"VIGOLO VATTARO";"RIF. MARANZA (b.412-426-441-456)";717;1,072;717;1,072;5,000;5,040;"01:45";"01:20";"MARZOLA";"Trento, Vigolo Vattaro";
"E430";"SEZ. SAT COGNOLA";"SENTIERO DEL GIARON";"E";"MONTEVACCINO SAN LEONARDO - chiesa";"STOI (b.401)";716;1,035;716;1,035;2,160;2,220;"01:00";"00:45";"CALISIO";"Trento";
"E431";"SEZ. SAT BESENELLO";"";"E";"BESENELLO";"QUOTA 1978 CRESTA CAMPIGOLET (b.450)";226;1,978;226;1,978;9,400;9,590;"05:15";"04:00";"VIGOLANA";"Besenello";
"E431B";"SEZ. SAT MATTARELLO";"SENTIERO DELL'IMPERATORE";"E";"ACQUAVIVA - SS 12 km 368,3";"pr. MASO DEI CUCCHI (b.431)";184;791;184;791;4,700;4,780;"01:40";"01:20";"VIGOLANA";"Trento, Besenello, Calliano";
"E432";"SEZ. SAT CENTA S. NICOLÒ, RIF. CASAROTA \"LIVIO CIOLA\"";"SENTIERO ATTREZZATO  DEI PASTORI SAA - EE";"EEA";"MARCH - pr. Rifugio Paludei (b.428-444)";"ALBI (b.442)";1,058;1,600;1,058;1,600;4,250;4,330;"02:05";"01:35";"VIGOLANA";"Centa S. Nicolò";
"E433";"SEZ. SAT PERGINE";"";"EE";"SUSA' - pr. il ponte sul Rio Merdàr";"SELLA DELLA MARZOLA (b.411-411A-412)";590;1,692;590;1,692;5,410;5,560;"03:40";"02:40";"MARZOLA";"Pergine Valsugana, Vigolo Vattaro";
"E434";"SEZ. SAT MATTARELLO";"SENT. ATTREZZATO CADUTI DELLA MONTAGNA SAA - EE";"EE";"VERSANTE NO BECCO CERIOLA (b.446)";"QUOTA 1984 CRESTA CAMPIGOLET (b.450)";1,725;1,984;1,725;1,984;2,400;2,450;"01:10";"01:00";"VIGOLANA";"Trento, Besenello";
"E434B";"SEZ. SAT MATTARELLO";"";"E";"PRATI ALTI (b.446)";"BECCO DELLA CERIOLA (b.434)";1,730;1,935;1,730;1,935;900;930;"00:30";"00:20";"VIGOLANA";"Besenello";
"E435";"SEZ. SAT VIGOLO VATTARO";"SENTIERO ATTREZZATO DELLE GRATTAROLE SAA - EE";"EE";"VAL DE L'ACQUA (b.450)";"BIVACCO VIGOLANA (b.425)";1,770;1,990;1,770;1,990;1,910;1,940;"01:00";"00:50";"VIGOLANA";"Vigolo Vattaro, Vattaro";
"E435B";"SEZ. SAT VIGOLO VATTARO";"";"E";"QUOTA 1690 (b.450)";"SASS DELL'AQUILA (b.446)";1,690;1,711;1,690;1,711;900;910;"00:20";"00:20";"VIGOLANA";"Vigolo Vattaro";
"E436";"SEZ. SAT PERGINE";"";"E";"SUSA' - piazza della chiesa";"pr. IL DOSS DEI CORVI (b.411)";563;1,450;563;1,475;5,500;5,610;"02:45";"02:10";"MARZOLA";"Pergine Valsugana, Trento";
"E437";"SEZ. SAT VIGOLO VATTARO";"";"E";"VIGOLO VATTARO - Sabionare (b.438)";"PIANI DI VIGO - Terra Rossa (b.433)";788;1,200;788;1,200;3,100;3,130;"01:20";"01:00";"MARZOLA";"Vigolo Vattaro";
"E438";"SEZ. SAT VIGOLO VATTARO";"";"E";"VIGOLO VATTARO - Sabionare (b.437)";"QUOTA 1590 (b.412)";788;1,590;788;1,590;3,200;3,330;"02:20";"01:40";"MARZOLA";"Vigolo Vattaro";
"E439";"SEZ. SAT CENTA S. NICOLÒ";"SENTER DEL PRALONGO";"EE";"PONTE DELLE ZENTE";"CRESTA NO CORNETTO DI FOLGARIA (b.425)";1,100;1,983;1,100;1,983;2,490;2,660;"02:15";"01:40";"VIGOLANA";"Centa S. Nicolò";
"E440";"SEZ. SAT VIGOLO VATTARO";"SENTIERO ATTREZZATO DEL CROZ DE LE ORE SAA - EE";"EE";"STRADA VALLESELLE - parcheggio (b.429)";"PRA' PICOL (b.438)";810;1,385;810;1,385;2,190;2,300;"01:40";"01:15";"MARZOLA";"Vigolo Vattaro";
"E441";"SEZ. SAT BINDESI VILLAZZANO";"";"E";"PINARA (b.412)";"RIFUGIO MARANZA (b.412-426-429-456)";560;1,072;560;1,072;2,600;2,660;"01:30";"01:00";"MARZOLA";"Trento";
"E442";"RIF. CASAROTA \"LIVIO CIOLA\"";"";"E";"BAR RISTORANTE AL SINDECH";"VERSANTE O BECCO FILADONNA (b.425)";1,100;2,080;1,100;2,080;4,390;4,530;"03:00";"02:00";"VIGOLANA";"Centa S. Nicolò";
"E443";"SEZ. SAT PINÉ";"";"E";"CENTRALE DI BEDOLLO (b.406B)";"BRUSAGO (b.407)";1,050;1,104;1,050;1,906;10,860;11,060;"04:10";"04:10";"LAGORAI / Costalta - Croce";"Baselga di Piné, Bedollo";
"E443A";"SEZ. SAT PINÉ";"";"E";"pr. MARTINEI (b.443)";"VAL DELL'INFERNO (b.443)";1,220;1,480;1,208;1,480;2,170;2,220;"01:00";"00:45";"LAGORAI / Costalta - Croce";"Baselga di Piné, Bedollo";
"E443B";"SEZ. SAT PINÉ";"";"E";"PASSO DEL REDEBUS (b.404)";"MALGA STRAMAIOLO BASSA (b.443)";1,453;1,678;1,453;1,678;3,600;3,620;"01:10";"01:00";"LAGORAI / Costalta - Croce";"Bedollo";
"E444";"SEZ. SAT CALDONAZZO";"SAA";"EE";"PRAI PIANI (b.432)";"QUOTA 1975 (b.425)";1,125;1,975;1,125;1,975;3,930;4,040;"03:30";"02:30";"VIGOLANA";"Centa S. Nicolò, Vattaro, Bosentino";
"E445";"SEZ. SAT CALDONAZZO";"";"E";"ex MALGA DOSS DEL BUGO";"VAL LARGA (b.444)";1,031;1,400;1,031;1,400;1,500;1,570;"01:00";"00:40";"VIGOLANA";"Vattaro, Bosentino";
"E446";"SEZ. SAT MATTARELLO, SEZ. SAT BESENELLO";"SAA";"EE";"PONT DEI MINCOTI - Mattarello";"MALGA PALAZZO (b.431-448-452)";234;1,560;0;1,730;11,400;11,600;"05:50";"04:20";"VIGOLANA";"Trento, Vigolo Vattaro, Besenello";
"E446A";"SEZ. SAT VIGOLO VATTARO";"SAA";"E";"pr. DOREDONDO (b.446)";"NE SASS DELL'AQUILA (b.446)";1,304;1,660;1,304;1,660;1,700;1,750;"01:00";"00:45";"VIGOLANA";"Trento, Vigolo Vattaro";
"E446B";"SEZ. SAT MATTARELLO";"";"T";"BIVIO SS 349 - pr. Molini Valsorda";"FORTE FORNAS (b.446)";620;756;620;756;1,600;1,610;"00:30";"00:20";"VIGOLANA";"Trento";
"E447";"SEZ. SAT MATTARELLO";"";"E";"FORTE ALTO";"MALGHETTA (b.446)";410;952;410;952;3,190;3,270;"01:30";"01:10";"VIGOLANA";"Trento, Vigolo Vattaro";
"E448";"SEZ. SAT BESENELLO";"";"E";"COMPET";"MALGA PALAZZO (b.431-446-452)";455;1,560;455;1,560;6,300;6,480;"03:15";"02:15";"VIGOLANA";"Besenello";
"E449";"SEZ. SAT BESENELLO";"";"E";"BESENELLO - Masera";"VAL ROZETTE (b.448)";200;940;0;1,005;4,600;4,730;"02:30";"02:00";"VIGOLANA";"Besenello";
"E450";"SEZ. SAT VIGOLO VATTARO";"";"E";"VIGOLO VATTARO";"BOCCA LAVINELLA (b.453-453A)";710;2,043;710;2,043;8,090;8,290;"04:00";"02:45";"VIGOLANA";"Vigolo Vattaro, Besenello";
"E450B";"SEZ. SAT VIGOLO VATTARO";"SENTER DEI ASENI";"E";"VIGOLO VATTARO - località Bersaglio";"LA POLSADORA (b.450)";735;1,200;735;1,200;3,500;3,550;"01:20";"01:00";"VIGOLANA";"Vigolo Vattaro";
"E451";"SEZ. SAT FOLGARIA";"";"E";"FOLGARIA";"CRESTA SE CORNETTO DI FOLGARIA (b.425)";1,167;2,030;1,167;2,030;5,100;5,200;"02:45";"01:50";"VIGOLANA";"Folgaria";
"E452";"SEZ. SAT BESENELLO";"";"E";"MALGA PALAZZO (b.431-446-448)";"POZZA ARIONDA (b.453)";1,560;1,770;0;1,770;2,200;2,220;"01:00";"00:45";"VIGOLANA";"Besenello";
"E453";"SEZ. SAT BESENELLO";"SENTER DEL BUS DEL GIAZ";"EE";"ANTICIMA DEL CORNETTO (b.425)";"BOCCA LAVINELLA (b.450-453A)";1,997;2,043;0;2,043;3,900;3,950;"01:40";"01:40";"VIGOLANA";"Besenello, Folgaria";
"E453A";"SEZ. SAT VIGOLO VATTARO";"";"EE";"LAVINELLA (b.435)";"BOCCA DI VAL LARGA (b.425)";1,970;2,050;1,970;2,130;1,300;1,340;"00:45";"00:45";"VIGOLANA";"Vigolo Vattaro";
"E454";"SEZ. SAT BESENELLO";"";"E";"pr. POSTAVECCHIA DI BESENELLO";"PIANI DI MASETTI (b.431B)";189;760;0;760;2,100;2,190;"01:20";"01:00";"VIGOLANA";"Calliano";
"E455";"SEZ. SAT POVO";"";"E";"PASSO DEL CIMIRLO";"BUSA GRANDA (b.413)";731;910;731;910;3,450;3,520;"01:15";"00:55";"MARZOLA";"Trento";
"E456";"SEZ. SAT POVO";"";"E";"QUOTA 1056 (b.413)";"RIFUGIO MARANZA (b.412-426-429-441)";1,056;1,072;1,056;1,135;2,320;2,340;"00:30";"00:45";"MARZOLA";"Trento";
"E460";"SEZ. SAT PINÉ";"";"E";"BUSONA DI VAL MATTIO (b.340)";"MONTE CROCE";2,160;2,490;2,150;2,490;2,510;2,580;"01:30";"01:15";"LAGORAI / Costalta - Croce";"Baselga di Piné, Telve";
"E460A";"SEZ. SAT PINÉ";"";"E";"PASSO SCALET (b.407-460)";"PASSO DI VAL MATTIO (b.340)";2,212;2,278;2,212;2,316;1,350;1,370;"00:45";"00:35";"LAGORAI / Costalta - Croce";"Telve";
"E461";"SEZ. SAT PERGINE, SEZ. SAT BORGO VALSUGANA";"";"E";"QUOTA 2085 (b.314)";"PASSO CADIN o di FIEMME (b.310-314)";2,085;2,108;2,069;2,108;2,665;2,680;"01:00";"01:00";"LAGORAI / Costalta - Croce";"Telve";
"E462";"SEZ. SAT PERGINE, SEZ. SAT PINÉ";"";"E";"LENZI - frazione di Palù del Fersina";"STRAMAIOLO (b.443)";1,350;1,723;1,350;1,939;5,800;5,900;"02:30";"02:10";"LAGORAI / Costalta - Croce";"Bedollo, Baselga di Piné";
"E468";"GRUPPO SAT TREVALLI (Sez. Piné), SEZ. SAT PINÉ";"";"E";"MONTESOVER";"RIFUGIO SPRUGIO \"GIVANNI TONINI\" (b.340-443)";1,130;1,906;1,130;1,973;13,290;13,460;"05:20";"04:30";"LAGORAI / Costalta - Croce";"Sover, Lona-Lases, Baselga di Piné";
"E468A";"SEZ. SAT PINÉ";"";"E";"QUOTA 1940 (b.468)";"ex MALGA CASERINE - ruderi (b.407-423)";1,940;1,910;1,910;1,940;1,400;1,410;"00:30";"00:30";"LAGORAI / Costalta - Croce";"Lona-Lases";
"E468B";"GRUPPO SAT TREVALLI (Sez. Piné)";"";"E";"SVESERI - Montesover";"CAMORE' (b.468)";1,091;1,750;1,091;1,750;2,920;3,050;"02:00";"01:20";"LAGORAI / Costalta - Croce";"Sover";
"E469";"GRUPPO SAT TREVALLI (Sez. Piné)";"";"E";"MONTE ALTO - Piscine";"BAITA MONTE PAT";1,142;1,502;1,142;1,502;3,350;3,390;"01:10";"00:50";"LAGORAI / Costalta - Croce";"Sover, Valfloriana";
"E469A";"GRUPPO SAT TREVALLI (Sez. Piné)";"";"E";"MALGA VERNERA BASSA (b.468)";"PASSO MIRAFIORI - o dei VASONI (b.470)";1,671;2,047;1,671;2,074;3,260;3,330;"01:40";"01:20";"LAGORAI / Costalta - Croce";"Sover, Valfloriana, Lona-Lases";
"E470";"GRUPPO SAT TREVALLI (Sez. Piné)";"";"E";"PONTE DEI VASONI (b.407)";"MALGA DELLE BUSE DEL SASSO";1,373;1,906;1,373;2,047;4,010;4,140;"02:10";"01:50";"LAGORAI / Costalta - Croce";"Lona-Lases, Valfloriana";
"E471";"SEZ. SAT CIVEZZANO";"";"E";"CIVEZZANO";"MONTEPIANO (b.421)";472;915;472;945;4,010;4,100;"01:50";"01:20";"CALISIO";"Civezzano";
"E472";"SEZ. SAT LAVIS";"SENT. DELLA SCALETTA, DELLE FRATTE, STR. PER PRALUNGO, SENT. CROZI DI VALCALDA";"E";"SAN LAZZARO - LAVIS";"BOSCHI VAL LARGHE (b.420)";242;834;242;834;6,490;6,600;"02:20";"01:50";"CALISIO";"Trento";
"E473";"SEZ. SAT CEMBRA";"";"T";"ALBIANO";"LAGO DI SANTA COLOMBA (b.421)";645;922;645;922;3,340;3,400;"01:10";"01:00";"CALISIO";"Albiano";
"E473A";"SEZ. SAT CEMBRA";"";"T";"QUOTA 895 (b.473)";"PRA' BROGERON (b.421)";895;890;860;895;2,110;2,150;"00:40";"00:40";"CALISIO";"Albiano";
"E474";"SEZ. SAT CEMBRA";"SENTIERO SCHIVABRIGHE PER FORNAS";"E";"ALBIANO - biblioteca";"QUOTA 980 (b.474A)";646;980;646;1,030;4,410;4,500;"01:40";"01:20";"CALISIO";"Albiano, Fornace, Lona-Lases";
"E474A";"SEZ. SAT CEMBRA";"";"E";"PIAN DEL GACC (b.474)";"VERSANTE N DEL MONTE GORSA (b.474)";849;1,005;849;1,005;2,020;2,050;"00:45";"00:35";"CALISIO";"Albiano";
"E480";"SEZ. SAT CEMBRA";"";"E";"MASI ALTI DI GRUMES - EL CASEL";"RIFUGIO POTZMAUER (b.415-SI-E5)";1,060;1,289;1,060;1,350;2,400;2,450;"00:50";"00:40";"MONTI DI CEMBRA";"Grumes";
"E481";"GRUPPO SAT CAPRIANA (Sez. Cavalese)";"";"E";"GRAUNO";"CAPRIANA";963;1,008;963;1,293;6,250;6,310;"02:00";"01:50";"MONTI DI CEMBRA";"Grauno, Capriana";
"E481A";"GRUPPO SAT CAPRIANA (Sez. Cavalese)";"";"E";"LION (b.481)";"DOI STRADE (b.483)";1,282;1,400;1,282;1,550;3,550;3,590;"01:10";"01:00";"MONTI DI CEMBRA";"Capriana";
"E482";"GRUPPO SAT CAPRIANA (Sez. Cavalese)";"VIA NOVA";"E";"CAPRIANA - chiesa (b.483)";"MALGA MONTE CORNO (b.483)";1,008;1,715;1,008;1,715;5,200;5,290;"02:10";"01:30";"MONTI DI CEMBRA";"Capriana";
"E482A";"GRUPPO SAT CAPRIANA (Sez. Cavalese)";"SENTIERO BOTANICO";"E";"CARBONARE";"BIVIO VIA NOVA (b.482)";1,005;1,220;1,005;1,224;3,850;3,880;"01:15";"01:00";"MONTI DI CEMBRA";"Capriana";
"E483";"GRUPPO SAT CAPRIANA (Sez. Cavalese)";"";"EEA";"CAPRIANA - chiesa (b.482)";"MONTE CORNO";1,008;1,781;1,008;1,781;5,850;5,960;"02:30";"01:50";"MONTI DI CEMBRA";"Capriana";
"E489";"SEZ. SAT SAN MICHELE ALL'ADIGE";"VIA FERRATA DI RIENTRO DALLA VIA FERRATA DEL RIO SECCO - VF - EEA-PD";"EEA-PD";"CADINO - SS 12";"TOVARE (b.408)";214;690;214;690;2,690;2,780;"01:40";"01:20";"MONTI DI CEMBRA";"Faedo";
"E490";"SEZ. SAT SAN MICHELE ALL'ADIGE";"VIA FERRATA DEL RIO SECCO VF - EEA-MD";"EEA-MD";"pr. CADINO (b.489)";"VAL DEI TEARI (b.489)";245;625;245;625;1,590;1,660;"02:10";"00:00";"MONTI DI CEMBRA";"Faedo";
"E490A";"SEZ. SAT SAN MICHELE ALL'ADIGE";"SENTIERO NORMALE DI RIENTRO";"E";"QUOTA 330 (b.489)";"GROTTA DEL BASALISC (b.490)";330;465;330;465;350;380;"00:20";"00:15";"MONTI DI CEMBRA";"Faedo";
"E502";"SEZ. SAT CAVALESE";"";"E";"POZAL";"QUOTA 2030 (b.573)";1,286;2,030;1,286;2,439;7,030;7,240;"04:20";"03:50";"CORNO NERO - PALA DI SANTA";"Daiano, Cavalese, Varena";
